アナログ電子回路　EE Text, 基礎エレクトロニクス, 佐々木毅
はじめての生産加工学1(基本加工技術編), ものづくり概論, 早房敬祐
物理学基礎　Web動画付　第5版, 基礎力学, 宇都宮登雄
図解論理回路入門, ディジタル回路, 佐々木毅
C言語によるプログラミング　応用編　第2版, プログラミング1, 八木伸行
C言語によるプログラミング　基礎編　第3版, プログラミング1, 八木伸行
プログラミング言語C　第2版(訳書訂正, プログラミング1, 八木伸行
Winning　Formula　for　the　TOEIC　L&R　Test:S　Revised, 総合英語, 全教員
Design  Makes  the  World  Go’ Round, 英語購読1, 全教員
工学系のための微分積分, 微積分学1, 全教員
工学系のための線形代数, 線形代数1, 全教員
わかりやすい数理計画法, 数理計画法, 廣瀬三平
マンキュー入門経済学　第3版, 経済学, 山澤浩司
はっきりわかるデータサイエンスと機械学習, データサイエンス演習, 山澤浩司
社会科学系学生のための初級中国語, 基礎中国語, 黄斌
デザインリサーチの教科書, 構想デザイン入門, 全教員
プロダクトデザイン　改訂版, 構想デザイン論, 蘆澤雄亮
レベル別に学べる物理学　1　改訂版, 基礎力学, 伊藤裕貴
観察スケッチ　気になるモノを描いて楽しむ, 構成基礎演習, 中島瑞季
初めて学ぶ人間工学, ユニバーサルデザイン, 吉武良治
ユニバーサルデザイン　実践ガイドライン, ユニバーサルデザイン, 吉武良治
Great writing 2:Great Paragraphs Student Book with Online Workbook(5th Edition), ライティング, 出野/増渕
ブラウン一般化学　1　原書13版　※, 化学, 藤井晋也
ブラウン一般化学　2　原書13版　※, 化学, 藤井晋也
プロダクトデザインのためのスケッチワーク, デザイン基礎表現演習, 全教員
Complete Guide to the TOEIC Test  Fourth  Edition, 英語購読1, 全教員
教科書サイト未掲載　※ご注文はサービスカウンターにて, 経営学, 加藤恭子
