基本からわかるディジタル回路講義ノート, 論理回路, 根岸良征
人工知能入門　第2版, 人工知能基礎, 保坂亮介
はじめての情報理論　第2版, 情報理論, 間野一則
例題で学ぶ符号理論入門, 符号理論, 間野一則
コンパイラ　作りながら学ぶ, 言語処理系, 鈴木徹也
自然言語処理の基礎, 自然言語処理, 奥村学
情報通信網の基礎, 通信網工学, 山本嶺
ディジタル画像処理　改訂第2版, 画像情報処理, 高橋正信
アルゴリズムとデータ構造　岩波講座ソフトウェア科学3, データ構造とアルゴリズムl, 三好匠
システム工学ー問題発見・解決の方法ー, システム工学A, 全教員
SUCCESSFUL STEPS FOR THE TOEICR L&R TEST 　New Edition, 語学検定対策講座, 小林潤
500語マスターやさしい中国語, 中国語II, 呉守鋼
500語マスターやさしい中国語, 中国語I, 呉守鋼
eco検定公式テキスト　改訂9版, SDGsとサステナビリティ, 袖野玲子
ピエールとユゴー　コンパクト版, フランス語I, 本間幸代
身につくドイツ文法<Leicht>2, ドイツ語I, 菅谷優
新キャンパス独和辞典, ドイツ語I, 菅谷優
例題で学ぶ微分積分学, 微分積分I, 全教員
Q: Skills for Success2- Reading and Writing(2nd ed), English Basic Skills I, 全教員
Get Reading! 大学生のための読解演習と基本文法, English Remedial Course I, 全教員
Q: Skills for Success 3- Reading and Writing(2nd ed), English Advanced Skills I, 全教員
Technical English  Level 2 Course Book and eBook　(2nd Edition), English for Science and Technology (Basic Class), 木戸・土井・中村・真保・出淵
Technical English  Level 3 Course Book and eBook(2nd Edition), English for Science and Technology (Advanced Class), 小抜・オガワ・柳澤・吉村
Winning Presentation　動画で学ぶ英語プレゼンテーション, 理工系英語プレゼンテーション, 吉村建二郎
物理学基礎　Web動画付　第5版, 力学I, 久保田/吉田
これだけはおさえたい!化学　改訂版　Primary大学テキスト, 化学I, 藤井靖之
医療と生命, 生命倫理概論, 中川雅博
共通テスト公共、倫理　集中講義　改訂版　※4/25発売予定　店頭にて販売, 哲学?, 中川雅博
線形代数学講義　増補版, 線形代数I, 荻田晴美
ミクロ経済学の力, 経済学I, 小山友介
新Aクラス中学代数問題集　6訂版, 数学科指導法1, 高村真彦
