教育実習日誌　第4版, 事前事後指導, 牧下英世
教育実習の手引　第7版, 事前事後指導, 牧下英世
新Aクラス中学幾何問題集　6訂版, 数学科指導法3, 牧下英世
中学校学習指導要領解説　数学編　平成29年7月, 数学科指導法3, 牧下英世
高等学校学習指導要領解説　数学編　理数編　平成30年7月, 数学科指導法3, 牧下英世
中学校数学　授業力をみがく〜よく考え、よくわかる授業づくり〜, 数学科指導法3, 牧下英世
群・環・体入門, 代数学概論, 荒川智匡
はじめての憲法学　第4版, 日本国憲法, 本田まり
はじめての法律学　第6版, 法学入門, 本田まり
知的財産法入門　第3版, 知的財産法, 本田まり
はじめての工学倫理　第4版, 技術者の倫理, 藤木篤
基礎から学ぶLCA　―LCAの実施と活用―, 生産と消費の環境論, 栗島英明
Tactics for TOEIC Listening and Reading, TOEIC1, 小島喜男
Complete Guide to the TOEIC Test P 17, TOEIC2, 小島喜男
Skillful Second Edition Level 2 Listening & Speaking  Student book pack, Listening & Speaking2, 須藤真季
Q: Skills for Success: Level 2: Reading, Reading & Writing1, 小島喜男
テクニカル　イングリッシュ入門, 工学英語1, 土屋知洋
日本語初級1大地メインテキスト, Japanese Language 1, 廖真早季
日本語初級1大地文型説明と翻訳英語版, Japanese Language 1, 廖真早季
(高校倫理の古典でまなぶ)哲学トレーニング　1, 哲学・倫理学, 本田まり
(高校倫理の古典でまなぶ)哲学トレーニング　1, 哲学・倫理学, 本田まり
大学生のための科学英語入門, テクニカルイングリッシュ, 櫻木新
ベクトル解析, ベクトル解析, 廣瀬三平
これなら分かる応用数学教室, フーリエ解析, 廣瀬三平
